experiment_name,dataset,executor_instances,graph_source,executor_cores,executor_memory_gb,executor_memory_overhead_gb,num_hops,phase37_partitions,started_utc,finished_utc,return_code,log_path
phase37-paper-ogbn-products-e16-c2-m16-oh8-20260810T200546Z,ogbn-products,16,phase0,2,16,8,2,512,2026-08-10T20:05:46.225014+00:00,2026-08-10T20:09:16.437715+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c2-m16-oh8-20260810T200546Z.log
phase37-paper-ogbn-products-e16-c2-m16-oh12-20260810T200546Z,ogbn-products,16,phase0,2,16,12,2,512,2026-08-10T20:09:16.437909+00:00,2026-08-10T20:12:37.030653+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c2-m16-oh12-20260810T200546Z.log
phase37-paper-ogbn-products-e16-c2-m24-oh8-20260810T200546Z,ogbn-products,16,phase0,2,24,8,2,512,2026-08-10T20:12:37.030839+00:00,2026-08-10T20:16:01.634575+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c2-m24-oh8-20260810T200546Z.log
phase37-paper-ogbn-products-e16-c2-m24-oh12-20260810T200546Z,ogbn-products,16,phase0,2,24,12,2,512,2026-08-10T20:16:01.634759+00:00,2026-08-10T20:19:21.808343+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c2-m24-oh12-20260810T200546Z.log
phase37-paper-ogbn-products-e16-c4-m16-oh8-20260810T200546Z,ogbn-products,16,phase0,4,16,8,2,512,2026-08-10T20:19:21.808533+00:00,2026-08-10T20:21:48.009471+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c4-m16-oh8-20260810T200546Z.log
phase37-paper-ogbn-products-e16-c4-m16-oh12-20260810T200546Z,ogbn-products,16,phase0,4,16,12,2,512,2026-08-10T20:21:48.009655+00:00,2026-08-10T20:24:09.712229+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c4-m16-oh12-20260810T200546Z.log
phase37-paper-ogbn-products-e16-c4-m24-oh8-20260810T200546Z,ogbn-products,16,phase0,4,24,8,2,512,2026-08-10T20:24:09.712414+00:00,2026-08-10T20:26:31.027656+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c4-m24-oh8-20260810T200546Z.log
phase37-paper-ogbn-products-e16-c4-m24-oh12-20260810T200546Z,ogbn-products,16,phase0,4,24,12,2,512,2026-08-10T20:26:31.027842+00:00,2026-08-10T20:28:52.764367+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e16-c4-m24-oh12-20260810T200546Z.log
phase37-paper-ogbn-products-e32-c2-m16-oh8-20260810T200546Z,ogbn-products,32,phase0,2,16,8,2,1024,2026-08-10T20:28:52.764554+00:00,2026-08-10T20:31:44.920035+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e32-c2-m16-oh8-20260810T200546Z.log
phase37-paper-ogbn-products-e32-c2-m16-oh12-20260810T200546Z,ogbn-products,32,phase0,2,16,12,2,1024,2026-08-10T20:31:44.920221+00:00,2026-08-10T20:34:39.703060+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e32-c2-m16-oh12-20260810T200546Z.log
phase37-paper-ogbn-products-e32-c2-m24-oh8-20260810T200546Z,ogbn-products,32,phase0,2,24,8,2,1024,2026-08-10T20:34:39.703245+00:00,2026-08-10T20:37:32.305702+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e32-c2-m24-oh8-20260810T200546Z.log
phase37-paper-ogbn-products-e32-c2-m24-oh12-20260810T200546Z,ogbn-products,32,phase0,2,24,12,2,1024,2026-08-10T20:37:32.305877+00:00,2026-08-10T20:40:25.757680+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e32-c2-m24-oh12-20260810T200546Z.log
phase37-paper-ogbn-products-e32-c4-m16-oh8-20260810T200546Z,ogbn-products,32,phase0,4,16,8,2,1024,2026-08-10T20:40:25.757866+00:00,2026-08-10T20:42:44.395213+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e32-c4-m16-oh8-20260810T200546Z.log
phase37-paper-ogbn-products-e32-c4-m16-oh12-20260810T200546Z,ogbn-products,32,phase0,4,16,12,2,1024,2026-08-10T20:42:44.395403+00:00,2026-08-10T20:44:59.661137+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e32-c4-m16-oh12-20260810T200546Z.log
phase37-paper-ogbn-products-e32-c4-m24-oh8-20260810T200546Z,ogbn-products,32,phase0,4,24,8,2,1024,2026-08-10T20:44:59.661329+00:00,2026-08-10T20:47:18.164315+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e32-c4-m24-oh8-20260810T200546Z.log
phase37-paper-ogbn-products-e32-c4-m24-oh12-20260810T200546Z,ogbn-products,32,phase0,4,24,12,2,1024,2026-08-10T20:47:18.164504+00:00,2026-08-10T20:49:42.091387+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e32-c4-m24-oh12-20260810T200546Z.log
phase37-paper-ogbn-products-e64-c2-m16-oh8-20260810T200546Z,ogbn-products,64,phase0,2,16,8,2,2048,2026-08-10T20:49:42.091573+00:00,2026-08-10T20:52:43.125170+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e64-c2-m16-oh8-20260810T200546Z.log
phase37-paper-ogbn-products-e64-c2-m16-oh12-20260810T200546Z,ogbn-products,64,phase0,2,16,12,2,2048,2026-08-10T20:52:43.125353+00:00,2026-08-10T20:55:40.420064+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e64-c2-m16-oh12-20260810T200546Z.log
phase37-paper-ogbn-products-e64-c2-m24-oh8-20260810T200546Z,ogbn-products,64,phase0,2,24,8,2,2048,2026-08-10T20:55:40.420569+00:00,2026-08-10T20:58:49.765041+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e64-c2-m24-oh8-20260810T200546Z.log
phase37-paper-ogbn-products-e64-c2-m24-oh12-20260810T200546Z,ogbn-products,64,phase0,2,24,12,2,2048,2026-08-10T20:58:49.765218+00:00,2026-08-10T21:02:02.748787+00:00,0,/home/hadoop/emo-pipeline/results/phase37_scaling/phase37-paper-ogbn-products-e64-c2-m24-oh12-20260810T200546Z.log
